index,City,Date,Card Type,Exp Type,Gender,Amount,Reward Points Earned,Age Group,Annual Income,Credit Limit,Credit Utilization (%),Transaction Category (Online vs. POS)
33,"Ahmedabad, India",08-Nov-14,Gold,Bills,F,864090,8640,36-45,800000,200000,100,Online
34,"Ahmedabad, India",06-Sep-14,Signature,Bills,F,440605,4406,36-45,800000,200000,100,Online
35,"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,954660,9546,26-35,300000,50000,100,Online
36,"Ahmedabad, India",01-Jan-14,Signature,Bills,F,255577,2555,36-45,500000,100000,100,Online
37,"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352,3373,46-60,300000,50000,100,Online
38,"Ahmedabad, India",04-Feb-14,Platinum,Bills,F,660244,6602,18-25,2000000,500000,100,Online
39,"Delhi, India",03-Feb-15,Silver,Bills,F,401351,4013,46-60,1200000,300000,100,Online
40,"Delhi, India",27-Oct-13,Platinum,Bills,F,678842,6788,60+,500000,100000,100,Online
41,"Delhi, India",11-May-14,Gold,Bills,F,478861,4788,36-45,2000000,500000,95.77,Online
42,"Bengaluru, India",10-Nov-14,Platinum,Bills,F,804938,8049,26-35,500000,100000,100,Online
43,"Delhi, India",30-Jan-15,Silver,Bills,F,888341,8883,46-60,1200000,300000,100,Online
44,"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414,2624,18-25,300000,50000,100,Online
45,"Bengaluru, India",08-Sep-14,Gold,Bills,F,249353,2493,26-35,300000,50000,100,Online
46,"Ahmedabad, India",10-Dec-13,Gold,Bills,F,892016,8920,60+,800000,200000,100,Online
47,"Ahmedabad, India",04-Nov-13,Platinum,Bills,F,313626,3136,26-35,500000,100000,100,Online
48,"Greater Mumbai, India",01-Jun-14,Gold,Bills,F,314366,3143,26-35,2000000,500000,62.87,Online
49,"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,551340,5513,18-25,800000,200000,100,Online
50,"Delhi, India",04-Oct-13,Signature,Bills,F,735037,7350,18-25,300000,50000,100,Online
51,"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,574023,5740,36-45,500000,100000,100,Online
52,"Ahmedabad, India",21-Dec-13,Signature,Bills,F,402300,4023,26-35,500000,100000,100,Online
53,"Delhi, India",07-Dec-13,Signature,Bills,F,733125,7331,26-35,800000,200000,100,Online
54,"Greater Mumbai, India",07-Feb-14,Signature,Bills,F,545977,5459,26-35,1200000,300000,100,Online
55,"Bengaluru, India",13-May-15,Silver,Bills,F,371572,3715,18-25,800000,200000,100,Online
56,"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283,3262,36-45,1200000,300000,100,Online
57,"Delhi, India",09-Dec-14,Platinum,Bills,F,279051,2790,18-25,800000,200000,100,Online
58,"Delhi, India",08-Oct-13,Platinum,Bills,F,900101,9001,36-45,500000,100000,100,Online
59,"Ahmedabad, India",24-Apr-14,Silver,Bills,F,545286,5452,36-45,800000,200000,100,Online
60,"Delhi, India",13-Jan-15,Platinum,Bills,F,722587,7225,18-25,800000,200000,100,Online
61,"Bengaluru, India",14-Mar-14,Platinum,Bills,F,411062,4110,26-35,1200000,300000,100,Online
62,"Delhi, India",27-Feb-14,Platinum,Bills,F,660910,6609,36-45,1200000,300000,100,Online
63,"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,557370,5573,26-35,500000,100000,100,Online
64,"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,549794,5497,18-25,300000,50000,100,Online
65,"Delhi, India",23-Jan-14,Platinum,Bills,F,340133,3401,36-45,2000000,500000,68.03,Online
66,"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417,2654,36-45,2000000,500000,53.08,Online
67,"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185,3581,36-45,1200000,300000,100,Online
68,"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,991685,9916,60+,2000000,500000,100,Online
69,"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,533762,5337,36-45,2000000,500000,100,Online
70,"Greater Mumbai, India",08-May-14,Gold,Bills,F,829742,8297,60+,800000,200000,100,Online
71,"Delhi, India",18-Feb-14,Silver,Bills,F,441527,4415,18-25,500000,100000,100,Online
72,"Delhi, India",04-Oct-13,Signature,Bills,F,550782,5507,18-25,800000,200000,100,Online
73,"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,835872,8358,46-60,1200000,300000,100,Online
74,"Ahmedabad, India",24-Aug-14,Silver,Bills,F,540497,5404,26-35,300000,50000,100,Online
75,"Greater Mumbai, India",02-Apr-15,Platinum,Bills,F,525977,5259,26-35,300000,50000,100,Online
76,"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,789393,7893,60+,1200000,300000,100,Online
77,"Greater Mumbai, India",06-Feb-15,Platinum,Bills,F,689478,6894,26-35,300000,50000,100,Online
78,"Bengaluru, India",29-Mar-14,Silver,Bills,F,499079,4990,46-60,1200000,300000,100,Online
79,"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,665107,6651,36-45,800000,200000,100,Online
80,"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,998077,9980,46-60,1200000,300000,100,Online
81,"Ahmedabad, India",02-Feb-14,Silver,Bills,F,934205,9342,36-45,300000,50000,100,Online
82,"Bengaluru, India",01-Apr-15,Platinum,Bills,F,823426,8234,46-60,2000000,500000,100,Online
83,"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910,2829,26-35,800000,200000,100,Online
84,"Bengaluru, India",27-Mar-14,Gold,Bills,F,418675,4186,26-35,300000,50000,100,Online
85,"Ahmedabad, India",17-Feb-15,Silver,Bills,F,804949,8049,46-60,300000,50000,100,Online
86,"Bengaluru, India",10-Feb-15,Gold,Bills,F,686601,6866,26-35,500000,100000,100,Online
87,"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,561220,5612,60+,300000,50000,100,Online
88,"Greater Mumbai, India",07-May-15,Gold,Bills,F,762534,7625,36-45,300000,50000,100,Online
89,"Bengaluru, India",05-Jan-14,Gold,Bills,F,327947,3279,36-45,1200000,300000,100,Online
90,"Bengaluru, India",07-Apr-14,Gold,Bills,F,492986,4929,18-25,500000,100000,100,Online
91,"Delhi, India",20-Feb-15,Signature,Bills,F,369237,3692,60+,500000,100000,100,Online
92,"Bengaluru, India",19-Jan-15,Platinum,Bills,F,983839,9838,26-35,800000,200000,100,Online
93,"Ahmedabad, India",14-Nov-14,Gold,Bills,F,776716,7767,36-45,1200000,300000,100,Online
94,"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,664632,6646,26-35,800000,200000,100,Online
95,"Bengaluru, India",03-Feb-15,Gold,Bills,F,466727,4667,26-35,1200000,300000,100,Online
96,"Bengaluru, India",01-Nov-13,Gold,Bills,F,896384,8963,60+,1200000,300000,100,Online
97,"Delhi, India",07-Dec-13,Signature,Bills,F,712001,7120,36-45,1200000,300000,100,Online
98,"Greater Mumbai, India",05-Aug-14,Silver,Bills,F,246865,2468,18-25,1200000,300000,82.29,Online
99,"Greater Mumbai, India",08-Jan-15,Signature,Bills,F,858729,8587,36-45,2000000,500000,100,Online
100,"Delhi, India",11-Apr-15,Platinum,Bills,F,581882,5818,26-35,2000000,500000,100,Online
101,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,646426,6464,36-45,2000000,500000,100,Online
102,"Bengaluru, India",24-Mar-15,Silver,Bills,F,687088,6870,46-60,300000,50000,100,Online
103,"Bengaluru, India",13-Oct-13,Signature,Bills,F,973026,9730,26-35,2000000,500000,100,Online
104,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398,9443,60+,800000,200000,100,Online
105,"Ahmedabad, India",09-Nov-14,Platinum,Bills,F,414422,4144,36-45,800000,200000,100,Online
106,"Bengaluru, India",04-Feb-15,Signature,Bills,F,408503,4085,18-25,1200000,300000,100,Online
107,"Bengaluru, India",06-Mar-14,Signature,Bills,F,984466,9844,60+,1200000,300000,100,Online
108,"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,919997,9199,36-45,300000,50000,100,Online
109,"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,535101,5351,60+,2000000,500000,100,Online
110,"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,978301,9783,26-35,800000,200000,100,Online
111,"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,880406,8804,18-25,2000000,500000,100,Online
112,"Ahmedabad, India",14-Nov-14,Silver,Bills,F,447241,4472,60+,1200000,300000,100,Online
113,"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191,3821,36-45,1200000,300000,100,Online
114,"Bengaluru, India",15-May-15,Silver,Bills,F,775859,7758,18-25,500000,100000,100,Online
115,"Bengaluru, India",21-Mar-14,Platinum,Bills,F,832637,8326,46-60,500000,100000,100,Online
116,"Bengaluru, India",03-Apr-15,Platinum,Bills,F,458526,4585,46-60,500000,100000,100,Online
117,"Ahmedabad, India",06-Apr-15,Signature,Bills,F,440995,4409,60+,300000,50000,100,Online
118,"Ahmedabad, India",05-Nov-13,Platinum,Bills,F,490128,4901,36-45,300000,50000,100,Online
119,"Delhi, India",07-Oct-13,Platinum,Bills,F,897079,8970,18-25,2000000,500000,100,Online
120,"Delhi, India",31-Oct-14,Gold,Bills,F,431948,4319,18-25,1200000,300000,100,Online
121,"Bengaluru, India",03-Apr-14,Silver,Bills,F,228072,2280,18-25,500000,100000,100,Online
122,"Delhi, India",21-Nov-13,Gold,Bills,F,757649,7576,18-25,300000,50000,100,Online
123,"Delhi, India",11-May-14,Signature,Bills,F,919877,9198,26-35,300000,50000,100,Online
124,"Greater Mumbai, India",23-May-14,Gold,Bills,F,605615,6056,46-60,2000000,500000,100,Online
125,"Bengaluru, India",22-May-15,Platinum,Bills,F,500852,5008,36-45,300000,50000,100,Online
126,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,488136,4881,36-45,300000,50000,100,Online
127,"Delhi, India",16-Jun-14,Gold,Bills,F,937828,9378,46-60,300000,50000,100,Online
128,"Delhi, India",27-Jan-14,Gold,Bills,F,315873,3158,18-25,500000,100000,100,Online
129,"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623,5676,26-35,800000,200000,100,Online
130,"Greater Mumbai, India",29-Oct-13,Platinum,Bills,F,555123,5551,36-45,300000,50000,100,Online
131,"Bengaluru, India",20-Apr-14,Gold,Bills,F,498843,4988,60+,2000000,500000,99.77,Online
132,"Greater Mumbai, India",23-May-14,Silver,Bills,F,752610,7526,36-45,300000,50000,100,Online
133,"Greater Mumbai, India",11-Mar-15,Platinum,Bills,F,494540,4945,18-25,300000,50000,100,Online
134,"Delhi, India",27-Oct-13,Gold,Bills,F,996754,9967,46-60,2000000,500000,100,Online
135,"Ahmedabad, India",14-Jul-14,Signature,Bills,F,245572,2455,26-35,800000,200000,100,Online
136,"Delhi, India",18-Apr-14,Gold,Bills,F,974384,9743,46-60,800000,200000,100,Online
137,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,846635,8466,26-35,1200000,300000,100,Online
138,"Ahmedabad, India",01-Sep-14,Silver,Bills,F,635473,6354,46-60,1200000,300000,100,Online
139,"Delhi, India",23-Mar-15,Gold,Bills,F,224510,2245,36-45,1200000,300000,74.84,Online
140,"Delhi, India",24-Jan-15,Silver,Bills,F,478671,4786,36-45,2000000,500000,95.73,Online
141,"Greater Mumbai, India",04-Oct-13,Gold,Bills,F,990700,9907,18-25,300000,50000,100,Online
142,"Delhi, India",14-Mar-14,Gold,Bills,F,228565,2285,18-25,1200000,300000,76.19,Online
143,"Bengaluru, India",03-Jan-14,Silver,Bills,F,297732,2977,18-25,500000,100000,100,Online
144,"Greater Mumbai, India",03-Dec-14,Signature,Bills,F,559262,5592,18-25,1200000,300000,100,Online
145,"Bengaluru, India",01-Jul-14,Signature,Bills,F,809907,8099,18-25,2000000,500000,100,Online
146,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,428316,4283,26-35,2000000,500000,85.66,Online
147,"Ahmedabad, India",05-Mar-14,Signature,Bills,F,275065,2750,36-45,2000000,500000,55.01,Online
148,"Bengaluru, India",20-Apr-14,Silver,Bills,F,845653,8456,36-45,500000,100000,100,Online
149,"Ahmedabad, India",20-Nov-13,Signature,Bills,F,236296,2362,18-25,2000000,500000,47.26,Online
150,"Bengaluru, India",25-Sep-14,Signature,Bills,F,440572,4405,18-25,500000,100000,100,Online
151,"Ahmedabad, India",06-Feb-15,Gold,Bills,F,478115,4781,60+,1200000,300000,100,Online
152,"Bengaluru, India",26-Oct-13,Gold,Bills,F,897621,8976,36-45,800000,200000,100,Online
153,"Greater Mumbai, India",06-May-15,Signature,Bills,F,554281,5542,26-35,1200000,300000,100,Online
154,"Delhi, India",30-Sep-14,Silver,Bills,F,245452,2454,26-35,2000000,500000,49.09,Online
155,"Delhi, India",17-Jan-14,Platinum,Bills,F,365045,3650,36-45,500000,100000,100,Online
156,"Greater Mumbai, India",11-Jan-15,Gold,Bills,F,496047,4960,26-35,800000,200000,100,Online
157,"Bengaluru, India",11-Feb-15,Silver,Bills,F,466814,4668,36-45,800000,200000,100,Online
158,"Bengaluru, India",10-Nov-14,Gold,Bills,F,835177,8351,60+,300000,50000,100,Online
159,"Delhi, India",12-Jan-15,Silver,Bills,F,219698,2196,46-60,2000000,500000,43.94,Online
160,"Bengaluru, India",18-Oct-14,Silver,Bills,F,784541,7845,26-35,300000,50000,100,Online
161,"Delhi, India",25-Oct-13,Signature,Bills,F,576994,5769,26-35,300000,50000,100,Online
162,"Bengaluru, India",15-May-15,Gold,Bills,F,464663,4646,36-45,800000,200000,100,Online
163,"Bengaluru, India",03-May-14,Platinum,Bills,F,380270,3802,46-60,500000,100000,100,Online
164,"Ahmedabad, India",02-Oct-14,Silver,Bills,F,772082,7720,26-35,500000,100000,100,Online
165,"Delhi, India",09-Apr-15,Gold,Bills,F,230853,2308,18-25,1200000,300000,76.95,Online
166,"Bengaluru, India",06-Oct-13,Signature,Bills,F,677654,6776,18-25,500000,100000,100,Online
167,"Greater Mumbai, India",05-Feb-14,Signature,Bills,F,929247,9292,26-35,300000,50000,100,Online
168,"Ahmedabad, India",09-Apr-15,Platinum,Bills,F,851374,8513,36-45,500000,100000,100,Online
169,"Ahmedabad, India",19-Jan-14,Platinum,Bills,F,637600,6376,36-45,1200000,300000,100,Online
170,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,681749,6817,26-35,1200000,300000,100,Online
171,"Delhi, India",25-Mar-14,Silver,Bills,F,847958,8479,60+,800000,200000,100,Online
172,"Greater Mumbai, India",18-Feb-14,Gold,Bills,F,877569,8775,36-45,2000000,500000,100,Online
173,"Ahmedabad, India",14-Oct-13,Platinum,Bills,F,450413,4504,26-35,800000,200000,100,Online
174,"Bengaluru, India",01-May-15,Signature,Bills,F,219041,2190,36-45,500000,100000,100,Online
175,"Bengaluru, India",31-Dec-14,Gold,Bills,F,866572,8665,36-45,1200000,300000,100,Online
176,"Greater Mumbai, India",26-Mar-14,Signature,Bills,F,570791,5707,36-45,2000000,500000,100,Online
177,"Ahmedabad, India",28-Apr-14,Silver,Bills,F,705464,7054,26-35,2000000,500000,100,Online
178,"Greater Mumbai, India",06-Apr-14,Signature,Bills,F,806821,8068,18-25,300000,50000,100,Online
179,"Greater Mumbai, India",27-Mar-14,Platinum,Bills,F,515472,5154,26-35,500000,100000,100,Online
180,"Ahmedabad, India",23-Sep-14,Silver,Bills,F,352207,3522,36-45,500000,100000,100,Online
181,"Ahmedabad, India",04-Mar-15,Gold,Bills,F,342761,3427,26-35,1200000,300000,100,Online
182,"Bengaluru, India",27-Feb-14,Signature,Bills,F,249099,2490,46-60,1200000,300000,83.03,Online
183,"Ahmedabad, India",27-Aug-14,Platinum,Bills,F,995634,9956,18-25,800000,200000,100,Online
184,"Bengaluru, India",12-Dec-14,Signature,Bills,F,435097,4350,26-35,1200000,300000,100,Online
185,"Ahmedabad, India",16-Jun-14,Platinum,Bills,F,797815,7978,46-60,300000,50000,100,Online
186,"Delhi, India",02-Jan-14,Gold,Bills,F,326922,3269,26-35,500000,100000,100,Online
187,"Bengaluru, India",11-Dec-14,Gold,Bills,F,396241,3962,36-45,2000000,500000,79.25,Online
188,"Delhi, India",14-Dec-14,Gold,Bills,F,486949,4869,36-45,500000,100000,100,Online
189,"Greater Mumbai, India",17-Jan-14,Gold,Bills,F,333483,3334,60+,300000,50000,100,Online
190,"Ahmedabad, India",05-Oct-13,Platinum,Bills,F,612572,6125,26-35,500000,100000,100,Online
191,"Bengaluru, India",18-Mar-15,Silver,Bills,F,327244,3272,18-25,800000,200000,100,Online
192,"Ahmedabad, India",04-Feb-14,Silver,Bills,F,955468,9554,36-45,800000,200000,100,Online
193,"Greater Mumbai, India",25-Feb-15,Gold,Bills,F,927864,9278,46-60,500000,100000,100,Online
194,"Delhi, India",28-Mar-14,Signature,Bills,F,555220,5552,60+,300000,50000,100,Online
195,"Delhi, India",28-Dec-14,Silver,Bills,F,952640,9526,60+,800000,200000,100,Online
196,"Ahmedabad, India",31-May-14,Silver,Bills,F,695749,6957,18-25,300000,50000,100,Online
197,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,365724,3657,26-35,800000,200000,100,Online
198,"Greater Mumbai, India",03-Mar-15,Platinum,Bills,F,738108,7381,36-45,1200000,300000,100,Online
199,"Ahmedabad, India",17-Jan-15,Platinum,Bills,F,650785,6507,60+,300000,50000,100,Online
200,"Delhi, India",23-Oct-14,Signature,Bills,F,611486,6114,60+,2000000,500000,100,Online
201,"Bengaluru, India",05-Aug-14,Platinum,Bills,F,965721,9657,36-45,300000,50000,100,Online
202,"Ahmedabad, India",12-Oct-14,Gold,Bills,F,413052,4130,60+,2000000,500000,82.61,Online
203,"Ahmedabad, India",22-Jan-14,Silver,Bills,F,584822,5848,36-45,300000,50000,100,Online
204,"Ahmedabad, India",25-Mar-15,Gold,Bills,F,980146,9801,26-35,2000000,500000,100,Online
205,"Ahmedabad, India",10-Oct-14,Signature,Bills,F,926072,9260,26-35,2000000,500000,100,Online
206,"Delhi, India",16-Apr-14,Silver,Bills,F,482394,4823,36-45,300000,50000,100,Online
207,"Bengaluru, India",21-Feb-14,Signature,Bills,F,718346,7183,36-45,500000,100000,100,Online
208,"Bengaluru, India",24-Apr-14,Silver,Bills,F,491598,4915,60+,500000,100000,100,Online
209,"Delhi, India",07-Sep-14,Platinum,Bills,F,848852,8488,60+,2000000,500000,100,Online
210,"Bengaluru, India",28-Dec-14,Gold,Bills,F,396139,3961,26-35,300000,50000,100,Online
211,"Ahmedabad, India",13-Oct-14,Signature,Bills,F,856974,8569,60+,300000,50000,100,Online
212,"Ahmedabad, India",03-Apr-15,Signature,Bills,F,855990,8559,26-35,1200000,300000,100,Online
213,"Delhi, India",16-Feb-15,Signature,Bills,F,924776,9247,18-25,1200000,300000,100,Online
214,"Greater Mumbai, India",03-Apr-14,Signature,Bills,F,204850,2048,18-25,300000,50000,100,Online
215,"Delhi, India",03-Nov-13,Platinum,Bills,F,780669,7806,36-45,1200000,300000,100,Online
216,"Greater Mumbai, India",17-Apr-14,Signature,Bills,F,887442,8874,18-25,800000,200000,100,Online
217,"Delhi, India",22-Jan-14,Signature,Bills,F,297820,2978,60+,2000000,500000,59.56,Online
218,"Delhi, India",14-Mar-15,Signature,Bills,F,687879,6878,46-60,800000,200000,100,Online
219,"Greater Mumbai, India",13-Oct-13,Silver,Bills,F,738456,7384,18-25,1200000,300000,100,Online
220,"Delhi, India",24-Aug-14,Platinum,Bills,F,378535,3785,26-35,500000,100000,100,Online
221,"Greater Mumbai, India",09-May-15,Silver,Bills,F,334116,3341,26-35,1200000,300000,100,Online
222,"Delhi, India",07-Jun-14,Silver,Bills,F,772360,7723,18-25,300000,50000,100,Online
223,"Ahmedabad, India",26-Nov-14,Gold,Bills,F,580796,5807,46-60,300000,50000,100,Online
224,"Greater Mumbai, India",21-Oct-14,Silver,Bills,F,855465,8554,26-35,2000000,500000,100,Online
225,"Greater Mumbai, India",15-Jun-14,Gold,Bills,F,978989,9789,60+,1200000,300000,100,Online
226,"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874,4518,36-45,500000,100000,100,Online
227,"Ahmedabad, India",07-Sep-14,Silver,Bills,F,670750,6707,46-60,500000,100000,100,Online
228,"Bengaluru, India",19-May-15,Signature,Bills,F,977951,9779,46-60,300000,50000,100,Online
229,"Delhi, India",23-Feb-14,Platinum,Bills,F,403466,4034,60+,300000,50000,100,Online
230,"Delhi, India",28-Oct-13,Signature,Bills,F,861177,8611,26-35,800000,200000,100,Online
231,"Ahmedabad, India",17-Dec-14,Gold,Bills,F,528612,5286,36-45,2000000,500000,100,Online
232,"Ahmedabad, India",04-Dec-14,Signature,Bills,F,339670,3396,46-60,800000,200000,100,Online
233,"Delhi, India",18-Nov-13,Signature,Bills,F,963751,9637,26-35,500000,100000,100,Online
234,"Ahmedabad, India",30-Nov-14,Gold,Bills,F,761930,7619,26-35,800000,200000,100,Online
235,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,852806,8528,36-45,800000,200000,100,Online
236,"Delhi, India",25-May-14,Signature,Bills,F,207755,2077,18-25,2000000,500000,41.55,Online
237,"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540,4895,36-45,800000,200000,100,Online
238,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,274395,2743,26-35,300000,50000,100,Online
239,"Bengaluru, India",11-Feb-14,Platinum,Bills,F,566945,5669,46-60,500000,100000,100,Online
240,"Ahmedabad, India",09-Dec-14,Gold,Bills,F,705690,7056,26-35,1200000,300000,100,Online
241,"Bengaluru, India",25-Mar-14,Gold,Bills,F,894888,8948,46-60,2000000,500000,100,Online
242,"Greater Mumbai, India",02-Jan-14,Platinum,Bills,F,811899,8118,36-45,1200000,300000,100,Online
243,"Greater Mumbai, India",25-Dec-14,Silver,Bills,F,677645,6776,26-35,300000,50000,100,Online
244,"Greater Mumbai, India",16-Oct-14,Platinum,Bills,F,326162,3261,46-60,2000000,500000,65.23,Online
245,"Delhi, India",19-Apr-15,Platinum,Bills,F,316946,3169,36-45,500000,100000,100,Online
246,"Delhi, India",20-Jan-14,Platinum,Bills,F,622373,6223,18-25,500000,100000,100,Online
247,"Bengaluru, India",10-May-14,Signature,Bills,F,640653,6406,26-35,1200000,300000,100,Online
248,"Ahmedabad, India",09-Jan-15,Signature,Bills,F,745493,7454,36-45,2000000,500000,100,Online
249,"Delhi, India",31-Oct-13,Gold,Bills,F,868021,8680,60+,1200000,300000,100,Online
250,"Delhi, India",28-Nov-14,Platinum,Bills,F,284923,2849,18-25,500000,100000,100,Online
251,"Bengaluru, India",21-Jul-14,Platinum,Bills,F,814422,8144,60+,300000,50000,100,Online
252,"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741,5997,26-35,800000,200000,100,Online
253,"Ahmedabad, India",10-Jun-14,Platinum,Bills,F,804560,8045,60+,300000,50000,100,Online
254,"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291,9962,36-45,500000,100000,100,Online
255,"Ahmedabad, India",09-Nov-13,Platinum,Bills,F,477553,4775,46-60,2000000,500000,95.51,Online
256,"Delhi, India",02-Jan-15,Gold,Bills,F,216028,2160,36-45,300000,50000,100,Online
257,"Greater Mumbai, India",10-Mar-15,Signature,Bills,F,275427,2754,36-45,2000000,500000,55.09,Online
258,"Delhi, India",22-Dec-13,Silver,Bills,F,722048,7220,26-35,500000,100000,100,Online
259,"Delhi, India",14-Feb-15,Silver,Bills,F,292365,2923,36-45,500000,100000,100,Online
260,"Ahmedabad, India",30-Jan-15,Silver,Bills,F,400393,4003,46-60,500000,100000,100,Online
261,"Greater Mumbai, India",01-Apr-14,Platinum,Bills,F,219720,2197,46-60,300000,50000,100,Online
262,"Delhi, India",15-Feb-15,Signature,Bills,F,981404,9814,46-60,800000,200000,100,Online
263,"Bengaluru, India",24-Nov-14,Signature,Bills,F,639670,6396,36-45,800000,200000,100,Online
264,"Bengaluru, India",07-Aug-14,Gold,Bills,F,814333,8143,46-60,1200000,300000,100,Online
265,"Ahmedabad, India",17-Oct-13,Gold,Bills,F,569582,5695,26-35,2000000,500000,100,Online
266,"Ahmedabad, India",25-May-14,Gold,Bills,F,954111,9541,36-45,300000,50000,100,Online
